province,capital,latitude,longitude
Alava,Vitoria,42.85058789,-2.67275685
Albacete,Albacete,38.99588053,-1.85574745
Alicante,Alicante,38.34548705,-0.4831832
Almeria,Almeria,36.83892362,-2.46413188
Asturias,Oviedo,43.36232165,-5.84372206
Avila,Avila,40.65586958,-4.69771277
Badajoz,Badajoz,38.87874339,-6,97099704
Barcelona,Barcelona,41.38424664,2.17634927
Burgos,Burgos,42.34113004,-3.70419805
Caceres,Caceres,39.47316762,-6.37121092
Cadiz,Cadiz,36.52171152,-6.28414575
Cantabria,Santander,43.46216667,-3.809722222
Castellon,Castellon de la Plana,39.98640809,-0.03688142
Ciudad Real, Ciudad Real,38.98651781,-3.93131981
Cordoba,Cordoba,37.87954225,-4.78032455
La Coru–a,La Coru–a,43.37126587,-8.395501936
Cuenca,Cuenca,40.07653762,-2.13152306
Girona,Girona,41.98186075,2.82411899
Granada,Granada,37.17641932,-3.60001883
Guadalajara,Guadalajara,40.63435548,-3.16210273
Guipuzcoa,San Sebastian,43.31717158,-1.98191785
Huelva,Huelva,37.26004113,-6.95040588
Huesca,Huesca,42.14062739,-0,40842276
Islas Baleares,Palma de Mallorca,39.57114699,2.65181698
Jaen,Jaen,37.7651913,-3.7903594
Leon,Leon,42.59912097,-5.56707631
Lleida,Lleida,41.61527355,0.62061934
Lugo,Lugo,43.00988951,-7.555755439
Madrid,Madrid,40.40841191,-3.68760088
Malaga,Malaga,36.72034267,-4.41997511
Murcia,Murcia,37.98436361,-1.1285408
Navarra,Pamplona,42.814102,-1.6451528
Ourense,Ourense,42.33553117,-7.863836656
Palencia,Palencia,42.0078373,-4.53460106
Las Palmas,Las Palmas de Gran Canaria,28.09937855,-15,41336841
Pontevedra,Pontevedra,42.43158576,-8.643672092
La Rioja,Logro–o,42.46644945,-2.44565538
Salamanca,Salamanca,40.96736822,-5.66538084
Santa Cruz de Tenerife,Santa Cruz de Tenerife,28.46285408,-16.24720629
Segovia,Segovia,40.9498703,-4.12524116
Sevilla,Sevilla,37.38620512,-5.99251368
Soria,Soria,41.76327912,-2.46624798
Tarragona,Tarragona,41.11910287,1.2584219
Teruel,Teruel,40.34412951,-1.10927177
Toledo,Toledo,39.8565219,-4.024974933
Valencia,Valencia,39.47534441,-0.37565717
Valladolid,Valladolid,41.65232777,-4.72334924
Vizcaya,Bilbao,43.25721957,-2.92390606
Zamora,Zamora,41.49913956,-5.75494831
Zaragoza,Zaragoza,41.65645655,-0.87928652
Ceuta,Ceuta,35.88810209,-5.30675127
Melilla,Melilla,35.29220967,-2.937088836
